date	year	congress	chamber	hearing_title	hearing_id	committee	committee_short
2009-10-28	2009	111	Senate	Natural Gas	111shrg54945	Committee on Energy and Natural Resources	Energy and Natural Resources
2009-03-05	2009	111	House	The Role of Offsets in Climate Legislation	111hhrg67096	Committee on Energy and Commerce	Energy and Commerce
2009-09-09	2009	111	Senate	Global Warming Legislation: Carbon Markets and Producer Groups	111shrg62715	Committee on Agriculture, Nutrition, and Forestry	Agriculture, Nutrition, and Forestry
2009-02-25	2009	111	Senate	Update on the Latest Global Warming Science	111shrg94021	Committee on Environment and Public Works	Environment and Public Works
2009-07-07	2009	111	Senate	Moving America Toward a Clean Energy Economy and Reducing Global Warming Pollution: Legislative Tools	111shrg95157	Committee on Environment and Public Works	Environment and Public Works
2009-03-12	2009	111	Senate	Climate Science: Empowering Our Response to Climate Change	111shrg52159	Committee on Commerce, Science, and Transportation	Commerce, Science, and Transportation
2009-10-27	2009	111	Senate	Legislative Hearing on S. 1733, Clean Energy Jobs and American Power Act	111shrg99887	Committee on Environment and Public Works	Environment and Public Works
2010-04-28	2010	111	House	Clean Energy Policies that Reduce Our Dependence on Oil	111hhrg76568	Committee on Energy and Commerce	Energy and Commerce
2009-10-21	2009	111	Senate	Allocation Allowances of Greenhouse Gas Emission	111shrg53882	Committee on Energy and Natural Resources	Energy and Natural Resources
2009-07-22	2009	111	Senate	The Role of Agriculture and Forestry in Global Warming Legislation	111shrg56563	Committee on Agriculture, Nutrition, and Forestry	Agriculture, Nutrition, and Forestry
2009-04-29	2009	111	House	Full Committee Hearing on Climate Change Solutions for Small Businesses and Family Farmers	111hhrg48881	Committee on Small Business	Small Business
2009-04-22	2009	111	Senate	Global Climate Change: U.S. Leadership for a New Global Agreement	111shrg53910	Committee on Foreign Relations	Foreign Relations
2009-04-21	2009	111	House	The American Clean Energy Security Act of 2009	111hhrg72878	Committee on Energy and Commerce	Energy and Commerce
2009-10-14	2009	111	Senate	Climate Change Legislation	111shrg54614	Committee on Energy and Natural Resources	Energy and Natural Resources
2009-07-16	2009	111	Senate	Ensuring and Enhancing U.S. Competitiveness While Moving Toward a Clean Energy Economy	111shrg95163	Committee on Environment and Public Works	Environment and Public Works
2009-10-28	2009	111	Senate	Legislative Hearing on S. 1733, Clean Energy Jobs and American Power Act	111shrg20182	Committee on Environment and Public Works	Environment and Public Works
2009-12-02	2009	111	House	The Administration's View on the State of Climate Science	111hhrg62520	Select Committee on Energy Independence and Global Warming	Energy Independence and Global Warming
2009-03-24	2009	111	House	Hearing on Trade Aspects of Climate Change Legislation	111hhrg51949	Committee on Ways and Means	Ways and Means
2009-08-06	2009	111	Senate	Climate Change and Ensuring that America Leads the Clean Energy Transformation	111shrg99885	Committee on Environment and Public Works	Environment and Public Works
2009-03-12	2009	111	House	Consumer Protection Provisions in Climate Legislation	111hhrg67102	Committee on Energy and Commerce	Energy and Commerce
2009-10-29	2009	111	Senate	Legislative Hearing on S. 1733, Clean Energy Jobs and American Power Act	111shrg20183	Committee on Environment and Public Works	Environment and Public Works
2009-03-26	2009	111	House	Addressing Price Volatility In Climate Change Legislation	111hhrg51119	Committee on Ways and Means	Ways and Means
2009-07-21	2009	111	Senate	Clean Energy Jobs, Climate-Related Policies and Economic Growth--State and Local Views	111shrg95164	Committee on Environment and Public Works	Environment and Public Works
2010-05-06	2010	111	House	The Foundation of Climate Science	111hhrg62590	Select Committee on Energy Independence and Global Warming	Energy Independence and Global Warming
2009-06-11	2009	111	House	Hearing to Review Pending Climate Legislation	111hhrg53787	Committee on Agriculture	Agriculture
2009-03-12	2009	111	House	Protecting Lower-Income Families While Fighting Global Warming	111hhrg49410	Committee on Ways and Means	Ways and Means
2009-03-05	2009	111	House	Energy Outlooks, and the Role of Federal Onshore and Offshore Resources in Meeting Future Energy Demand	111hhrg47755	Committee on Natural Resources	Natural Resources
2009-06-09	2009	111	House	Allowance Allocation Policies in Climate Legislation: Assisting Consumers, Investing in a Clean Energy Future, and Adapting to Climate Change	111hhrg73749	Committee on Energy and Commerce	Energy and Commerce
2009-07-08	2009	111	Senate	Industrial Competitiveness Under Climate Policies: Lessons from Europe	111shrg52910	Committee on Foreign Relations	Foreign Relations
2010-05-20	2010	111	House	Climate Science in the Political Arena	111hhrg58145	Select Committee on Energy Independence and Global Warming	Energy Independence and Global Warming
2009-03-10	2009	111	House	The Future of Coal Under Climate Legislation	111hhrg67098	Committee on Energy and Commerce	Energy and Commerce
2009-04-07	2009	111	House	The Impacts of Climate Change on America's National Parks	111hhrg48662	Committee on Natural Resources	Natural Resources
2009-05-19	2009	111	Senate	Business Opportunities and Climate Policy	111shrg94585	Committee on Environment and Public Works	Environment and Public Works
2009-02-24	2009	111	House	Monitoring, Measurement, and Verification of Greenhouse Gas Emissions, Parts I and II	111hhrg47612	Committee on Science and Technology	Science and Technology
2009-07-14	2009	111	Senate	Economic Opportunities for Agriculture, Forestry Communities, and Others in Reducing Global Warming Pollution	111shrg95162	Committee on Environment and Public Works	Environment and Public Works
2009-03-18	2009	111	House	Competitiveness and Climate Policy: Avoiding Leakage of Jobs and Emissions	111hhrg67814	Committee on Energy and Commerce	Energy and Commerce
2009-11-10	2009	111	Senate	Climate Change Legislation: Considerations for Future Jobs	111shrg65632	Committee on Finance	Finance
2009-12-02	2009	111	Senate	Policy Options for Reducing Greenhouse Gas Emissions	111shrg55432	Committee on Energy and Natural Resources	Energy and Natural Resources
