congress	chamber	committee	committee_short	year	date	hearing_title	hearing_id	witness	affiliation	opensectrets_industry	opensectrets_sector	category	subcategory	state_research	contrarian_organisation	contrarian	denialist
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Murray, Michael, Director, Legislative Policy, Sempra Energy	Sempra Energy	Electric Utilities	Energy & Natural Resources	Fossil Fuel Industry	Electric Utilities	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Claussen, Eileen, President, Pew Center	Pew Center	Environment	Ideological/Single-Issue	Non-Profit Organisations	Environment	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Pizer, William, Senior Fellow, Resources for the Future	Resources for the Future	Environment	Ideological/Single-Issue	Non-Profit Organisations	Environment	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Slump, David, General Manager, Global Marketing, GE Energy, General Electric Company	General Electric	Misc Manufacturing & Distributing	Misc Business	Carbon-intensive Industry	Manufacturing	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Bailey, Paul, Director, Generators for Clear Air	Generators for Clear Air	Electric Utilities	Energy & Natural Resources	Fossil Fuel Industry	Electric Utilities	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Edward, Garth, Trading Manager, Environmental Products, Shell	Shell	Oil & Gas	Energy & Natural Resources	Fossil Fuel Industry	Fossil Fuel Extraction	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Walsh, Michael, Senior Vice President, Chicago Climate Exchange	Chicago Climate Exchange	Securities & Investment	Finance, Insurance & Real Estate	Business & Services	Finance, Insurance & Real Estate	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Bradley, Michael, Executive Director, Clean Energy Group	Clean Energy Group	Alternate energy production & services	Energy & Natural Resources	Alternative Energy	Alternative Energy	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Johnson, Kirk, Executive Director of Environmental Affairs, National Rural Electric Cooperative	Electric Cooperative	Electric Utilities	Energy & Natural Resources	Fossil Fuel Industry	Electric Utilities	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Moler, Elizabeth A., Executive Vice President, Government and Environmental Affairs and Public Policy, Exelon Corporation	Exelon Corporation	Electric Utilities	Energy & Natural Resources	Fossil Fuel Industry	Electric Utilities	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Wolfe, Samuel, Chief Counsel, New Jersey Board of Public Utilities	Board of Public Utilities	Civil Servants/Public Officials	Other	Government Officials	Government Officials	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Richels, Richard, Technical Executive for Global Climate Change Research, Electric Power Research Institute	Electric Power Research Institute	Electric Utilities	Energy & Natural Resources	Fossil Fuel Industry	Electric Utilities	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Pershing, Jonathan, Director, Climate, Energy, and Pollution Program, World Resources Institute	World Resources Institute	Environment	Ideological/Single-Issue	Non-Profit Organisations	Environment	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Doniger, David, Policy Director, Climate Center, Natural Resources Defense Council	Natural Resources Defense Council	Environment	Ideological/Single-Issue	Non-Profit Organisations	Environment	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Shaw, Ruth, Group Executive for Public Policy and President for Duke Nuclear, Duke Energy Corporation	Duke Energy	Nuclear Energy	Energy & Natural Resources	Alternative Energy	Alternative Energy	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Montesano, Craig, Director of Governmental Affairs, National Mining Association	National Mining Association	Mining	Energy & Natural Resources	Carbon-intensive Industry	Mining	0	National Mining Association	Contrarian	Other contrarian
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Callahan, Kateri, President, Alliance to Save Energy	Alliance to Save Energy	Environment	Ideological/Single-Issue	Non-Profit Organisations	Environment	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Pomerance, Rafe, Chairman, Climate Policy Center	Climate Policy Center	Environment	Ideological/Single-Issue	Non-Profit Organisations	Environment	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Marron, Donald, Acting Director, Congressional Budget Office	Congressional Budget Office	Civil Servants/Public Officials	Other	Government Officials	Government Officials	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Rosenzweig, Richard, Chief Operating Officer, Member of International Climate Change Partner, Natsource	Natsource	Securities & Investment	Finance, Insurance & Real Estate	Business & Services	Finance, Insurance & Real Estate	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Krupp, Fred, President, Environmental Defense	Environmental Defense	Environment	Ideological/Single-Issue	Non-Profit Organisations	Environment	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Helme, Ned, President, Center for Clean Air Policy	Center for Clean Air Policy	Environment	Ideological/Single-Issue	Non-Profit Organisations	Environment	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Morris, Michael, Chairman of the Board of Directors, Edison Electric Institute	Edison Electric Institute	Electric Utilities	Energy & Natural Resources	Fossil Fuel Industry	Electric Utilities	0	Edison Electric Institute	Contrarian	Other contrarian
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Morris, Michael, Chairman of the Board, President, and Chief Executive Officer, American Electric Power	American Electric Power	Electric Utilities	Energy & Natural Resources	Fossil Fuel Industry	Electric Utilities	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Ruben, Andy, Vice President of Corporate Strategy and Sustainability, Wal-Mart Stores, Inc	Wal-Mart Stores	Retail Sales	Misc Business	Business & Services	Misc Business	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2006	2006-04-04	Climate Change	109shrg28095	Sterba, Jeff, Chairman, President, and CEO, PNM Resources	PNM Resources	Electric Utilities	Energy & Natural Resources	Fossil Fuel Industry	Electric Utilities	0		Other witness	Other witness
109	House	Committee on Energy and Commerce	Energy and Commerce	2005	2005-05-26	The Administration's Clear Skies Initiative	109hhrg99909	Connaughton, James L., Chairman, Council on Environmental Quality, Executive Office of the President	Council on Environmental Quality	Civil Servants/Public Officials	Other	Government Officials	Government Officials	0		Other witness	Other witness
109	House	Committee on Energy and Commerce	Energy and Commerce	2005	2005-05-26	The Administration's Clear Skies Initiative	109hhrg99909	Holmstead, Hon. Jeffrey R., Assistant Administrator for Air and Radiation, Environmental Protection Agency	Environmental Protection Agency	Civil Servants/Public Officials	Other	Government Officials	Government Officials	0		Contrarian	Other contrarian
109	Senate	Committee on Environment and Public Works	Environment and Public Works	2006	2006-12-06	Examining Climate Change and the Media	109shrg52324	Carter, R.M., Ph.D., Marine Geophysical Laboratory, James Cook University, Australia	James Cook University	Education	Other	Scientists	Scientists	0		Other witness	Other witness
109	Senate	Committee on Environment and Public Works	Environment and Public Works	2006	2006-12-06	Examining Climate Change and the Media	109shrg52324	Deming, David, Ph.D., University of Oklahoma, College of Earth and Energy	University of Oklahoma	Education	Other	Scientists	Scientists	0		Contrarian	Denialist
109	Senate	Committee on Environment and Public Works	Environment and Public Works	2006	2006-12-06	Examining Climate Change and the Media	109shrg52324	Gainor, Dan, The Boone Pickens Free Market Fellow, director, Business & Media Institute	Business & Media Institute	Republican/Conservative	Ideological/Single-Issue	Non-Profit Organisations	Partisan Non-Profits	0		Contrarian	Denialist
109	Senate	Committee on Environment and Public Works	Environment and Public Works	2006	2006-12-06	Examining Climate Change and the Media	109shrg52324	Oreskes, Naomi, professor, Department of History and Program in Science Studies, University of California, San Diego	University of California	Education	Other	Scientists	Scientists	0		Other witness	Other witness
109	Senate	Committee on Environment and Public Works	Environment and Public Works	2006	2006-12-06	Examining Climate Change and the Media	109shrg52324	Schrag, Daniel, Ph.D., Laboratory for Geochemical Oceanography, Department of Earth and Planetary Sciences, Harvard University	Harvard University	Education	Other	Scientists	Scientists	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2005	2005-07-21	Climate Change	109shrg24631	Molina, Dr. Mario, Professor, University of California, San Diego	University of California	Education	Other	Scientists	Scientists	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2005	2005-07-21	Climate Change	109shrg24631	Morgenstern, Richard D., Ph.D., Economic and Senior Fellow, Resources for the Future	Resources for the Future	Environment	Ideological/Single-Issue	Non-Profit Organisations	Environment	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2005	2005-07-21	Climate Change	109shrg24631	Grumet, Jason S., Executive Director, National Commission on Energy Policy	Commission on Energy	Civil Servants/Public Officials	Other	Government Officials	Government Officials	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2005	2005-07-21	Climate Change	109shrg24631	Cicerone, Ralph J., Ph.D., President, National Academy of Science, and Chairman, National Research Council	National Research Council	Education	Other	Scientists	Scientists	0		Other witness	Other witness
109	Senate	Committee on Energy and Natural Resources	Energy and Natural Resources	2005	2005-07-21	Climate Change	109shrg24631	Hurrell, James W., Ph.D., Director, Climate and Global Dynamics Division, National Center for Atmospheric Research, Boulder, CO	National Center for Atmospheric Research	Civil Servants/Public Officials	Other	Scientists	Government Scientists	1		Other witness	Other witness
